epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,20.5142,1.08645,1.01053,1.07831,0.99367,1,0.995,0.72073,1.11427,0.91028,1.20029,0.000713,0.000713,0.000713
67,20.8005,0.98845,1.15194,1.05247,0.994,1,0.995,0.72452,1.17096,0.94005,1.23924,0.0006932,0.0006932,0.0006932
68,21.0857,0.9894,1.13067,1.0682,0.99374,1,0.995,0.72197,1.13647,0.9598,1.19981,0.0006734,0.0006734,0.0006734
69,21.3705,0.99075,0.93663,1.03613,0.99343,1,0.995,0.72416,1.12172,0.91513,1.17112,0.0006536,0.0006536,0.0006536
70,21.6579,0.99136,0.95165,0.98879,0.99287,1,0.995,0.7277,1.09588,0.87102,1.15053,0.0006338,0.0006338,0.0006338
71,21.9543,1.03637,1.05329,1.13823,0.99282,1,0.995,0.73835,1.07476,0.84911,1.14216,0.000614,0.000614,0.000614
72,22.2456,1.05718,1.01675,1.12712,0.99282,1,0.995,0.73835,1.07476,0.84911,1.14216,0.0005942,0.0005942,0.0005942
73,22.5415,0.95736,0.8852,1.04741,0.9926,1,0.995,0.75285,1.09375,0.83666,1.16215,0.0005744,0.0005744,0.0005744
74,22.8371,0.99822,0.93934,1.01323,0.99253,1,0.995,0.74045,1.09475,0.83294,1.16045,0.0005546,0.0005546,0.0005546
75,23.1224,0.96558,0.83749,1.02984,0.99183,1,0.995,0.70834,1.10831,0.8682,1.15107,0.0005348,0.0005348,0.0005348
76,23.4107,0.94122,0.83829,0.97727,0.99219,1,0.995,0.72677,1.11872,0.86978,1.15792,0.000515,0.000515,0.000515
77,23.6977,0.96908,1.04379,1.06635,0.99301,1,0.995,0.74034,1.10699,0.86523,1.15228,0.0004952,0.0004952,0.0004952
78,24.0113,0.86665,0.89758,1.0067,0.99347,1,0.995,0.73147,1.05498,0.88247,1.12487,0.0004754,0.0004754,0.0004754
79,24.3006,0.90096,0.93995,1.02097,0.99386,1,0.995,0.74163,1.04805,0.87772,1.11526,0.0004556,0.0004556,0.0004556
80,24.5804,0.87195,0.92778,1.056,0.99386,1,0.995,0.74163,1.04805,0.87772,1.11526,0.0004358,0.0004358,0.0004358
81,24.8663,0.85727,0.94045,0.98975,0.9943,1,0.995,0.72829,1.04507,0.86389,1.11898,0.000416,0.000416,0.000416
82,25.1509,0.95621,0.94731,1.03395,0.99473,1,0.995,0.70713,1.04841,0.85377,1.12966,0.0003962,0.0003962,0.0003962
83,25.4415,0.80664,0.95299,1.01956,0.99489,1,0.995,0.70463,1.0631,0.8296,1.1691,0.0003764,0.0003764,0.0003764
84,25.726,0.9706,0.89379,1.01837,0.99433,1,0.995,0.67246,1.09347,0.82453,1.20612,0.0003566,0.0003566,0.0003566
85,26.0229,0.92457,0.92056,1.0588,0.99357,1,0.995,0.65954,1.087,0.79732,1.20569,0.0003368,0.0003368,0.0003368
86,26.3143,0.87662,0.79035,1.00084,0.99271,1,0.995,0.71279,1.06691,0.78048,1.18487,0.000317,0.000317,0.000317
87,26.6069,0.80892,0.87119,0.99595,0.99319,1,0.995,0.71685,1.05392,0.77909,1.16911,0.0002972,0.0002972,0.0002972
88,26.8895,0.92011,0.91701,1.05127,0.99319,1,0.995,0.71685,1.05392,0.77909,1.16911,0.0002774,0.0002774,0.0002774
89,27.1772,0.87538,0.86241,0.96844,0.99401,1,0.995,0.71685,1.04749,0.79837,1.16528,0.0002576,0.0002576,0.0002576
90,27.4611,0.85738,0.87131,1.04469,0.99441,1,0.995,0.70585,1.04033,0.80748,1.16503,0.0002378,0.0002378,0.0002378
91,28.0712,0.83587,1.00944,1.055,0.9949,1,0.995,0.69876,1.04106,0.79884,1.1667,0.000218,0.000218,0.000218
92,28.352,0.89455,1.10692,1.05086,0.9953,1,0.995,0.69876,1.07878,0.81429,1.18414,0.0001982,0.0001982,0.0001982
93,28.6298,0.80222,1.02688,1.01936,0.99518,1,0.995,0.70076,1.1029,0.83472,1.20355,0.0001784,0.0001784,0.0001784
94,28.9172,0.82177,1.0445,1.05147,0.99518,1,0.995,0.70076,1.1161,0.84612,1.21483,0.0001586,0.0001586,0.0001586
95,29.2052,0.85147,1.02612,1.10347,0.99534,1,0.995,0.68905,1.10843,0.84425,1.21087,0.0001388,0.0001388,0.0001388
96,29.5177,0.84641,1.07349,1.0494,0.99534,1,0.995,0.68905,1.10843,0.84425,1.21087,0.000119,0.000119,0.000119
97,29.8083,0.82545,1.07906,1.00042,0.99557,1,0.995,0.6871,1.09816,0.84835,1.19998,9.92e-05,9.92e-05,9.92e-05
98,30.0977,0.83078,1.11565,0.99307,0.99569,1,0.995,0.6951,1.09648,0.85235,1.19591,7.94e-05,7.94e-05,7.94e-05
99,30.3825,0.78218,1.03441,1.04522,0.99562,1,0.995,0.6951,1.0855,0.84382,1.18967,5.96e-05,5.96e-05,5.96e-05
100,30.667,0.79521,1.05429,1.03755,0.99563,1,0.995,0.6951,1.09114,0.83103,1.19057,3.98e-05,3.98e-05,3.98e-05
